nodes 300
source 0
sink 299
arcs 8993
0 299 10
0 4 2
0 5 4
0 24 9
0 32 7
0 56 7
0 88 2
0 90 9
0 100 2
0 117 5
0 119 2
0 129 7
0 139 8
0 150 1
0 182 5
0 205 2
0 225 10
0 229 10
0 240 3
0 244 9
0 259 9
0 260 8
0 262 6
0 263 2
0 278 8
0 279 10
0 284 3
0 298 7
1 10 10
1 12 1
1 14 10
1 44 4
1 64 5
1 82 5
1 93 6
1 97 8
1 125 9
1 129 6
1 131 2
1 136 10
1 148 8
1 175 2
1 199 10
1 224 5
1 234 10
1 238 6
1 248 2
1 256 10
1 271 1
1 277 2
1 298 8
2 0 9
2 24 1
2 27 4
2 31 7
2 47 7
2 60 9
2 67 7
2 72 1
2 80 4
2 81 6
2 83 2
2 89 4
2 93 7
2 103 7
2 117 7
2 126 8
2 130 5
2 145 1
2 148 1
2 160 6
2 169 7
2 170 7
2 176 4
2 179 4
2 199 1
2 210 1
2 228 5
2 245 7
2 271 2
2 274 7
2 275 3
2 279 3
2 290 9
3 22 3
3 23 4
3 25 1
3 31 6
3 39 5
3 61 3
3 64 1
3 86 10
3 87 4
3 94 7
3 99 8
3 111 5
3 115 7
3 121 6
3 129 8
3 130 5
3 143 2
3 151 10
3 159 5
3 161 9
3 180 10
3 202 10
3 216 1
3 260 6
3 275 9
3 283 9
3 295 9
3 299 5
4 15 2
4 20 1
4 32 4
4 50 3
4 54 8
4 78 8
4 90 4
4 107 8
4 111 2
4 153 1
4 181 10
4 182 5
4 196 2
4 197 1
4 203 8
4 225 1
4 240 4
4 241 7
4 243 8
4 262 10
4 265 8
4 268 4
4 280 4
4 283 1
5 34 8
5 56 3
5 67 4
5 85 4
5 91 8
5 103 10
5 112 10
5 182 10
5 197 2
5 199 7
5 200 2
5 203 5
5 205 10
5 219 2
5 226 10
5 239 7
5 243 9
5 245 1
5 246 6
5 268 8
5 271 3
5 278 9
5 280 9
5 291 7
5 297 2
6 3 5
6 7 9
6 11 3
6 26 4
6 49 6
6 51 8
6 66 3
6 77 10
6 86 9
6 104 8
6 119 4
6 123 6
6 126 6
6 131 5
6 140 6
6 144 6
6 146 2
6 148 5
6 149 3
6 156 6
6 164 7
6 186 6
6 200 7
6 207 1
6 216 5
6 224 6
6 242 5
6 243 5
6 283 9
6 286 9
6 288 8
6 292 8
6 294 7
7 2 10
7 9 1
7 25 4
7 28 5
7 38 8
7 43 6
7 59 5
7 76 8
7 77 1
7 86 2
7 90 2
7 102 10
7 126 2
7 128 1
7 141 5
7 155 7
7 158 4
7 171 1
7 181 6
7 182 10
7 200 4
7 235 1
7 241 1
7 248 7
7 250 2
7 264 4
7 268 10
7 272 6
7 282 7
7 296 8
8 8 7
8 19 4
8 37 2
8 38 9
8 39 4
8 66 6
8 68 5
8 85 10
8 105 6
8 136 10
8 155 10
8 160 5
8 163 6
8 165 10
8 172 8
8 176 8
8 181 2
8 195 7
8 217 5
8 222 7
8 225 8
8 227 10
8 230 10
8 232 10
8 244 8
8 250 10
8 253 5
8 258 5
8 278 8
9 12 3
9 20 3
9 33 1
9 40 1
9 43 1
9 57 2
9 60 6
9 68 7
9 74 2
9 76 7
9 78 2
9 85 6
9 103 2
9 118 8
9 121 10
9 128 5
9 131 6
9 147 4
9 148 3
9 169 2
9 170 7
9 171 7
9 172 1
9 174 9
9 185 3
9 209 4
9 215 4
9 223 3
9 233 2
9 235 10
9 245 9
9 248 5
9 256 2
9 258 7
9 266 5
9 270 9
9 273 2
9 277 8
9 286 3
9 294 2
10 13 6
10 29 5
10 31 9
10 46 3
10 51 7
10 54 10
10 71 3
10 76 1
10 84 6
10 112 10
10 121 8
10 126 3
10 138 2
10 222 3
10 246 4
10 251 1
10 253 5
10 260 6
10 262 5
10 271 6
10 278 8
10 279 1
10 289 2
10 292 3
11 3 10
11 10 8
11 28 9
11 63 3
11 85 7
11 96 10
11 107 10
11 108 8
11 117 7
11 119 4
11 123 7
11 143 5
11 147 9
11 157 6
11 165 2
11 183 4
11 197 1
11 205 9
11 209 5
11 212 6
11 216 7
11 225 6
11 241 1
11 244 10
11 279 9
12 7 8
12 8 3
12 20 1
12 33 9
12 48 1
12 49 10
12 50 4
12 68 10
12 87 8
12 106 6
12 115 2
12 121 10
12 125 4
12 128 2
12 135 1
12 137 7
12 139 5
12 142 8
12 146 9
12 152 6
12 177 9
12 186 10
12 193 5
12 196 6
12 204 5
12 210 6
12 212 5
12 216 1
12 222 5
12 223 3
12 225 3
12 238 5
12 243 2
12 255 1
12 271 4
12 275 7
12 280 2
12 284 10
12 285 10
13 16 8
13 21 1
13 25 3
13 26 1
13 30 4
13 37 4
13 39 4
13 42 2
13 54 3
13 56 4
13 73 1
13 77 1
13 82 10
13 91 5
13 94 9
13 103 1
13 105 9
13 110 1
13 134 1
13 190 9
13 198 2
13 201 2
13 209 1
13 214 1
13 217 4
13 237 9
13 240 9
13 245 7
13 249 7
13 251 7
13 277 10
13 278 4
13 279 8
13 281 9
13 293 4
13 299 8
14 23 4
14 29 10
14 43 6
14 51 1
14 71 5
14 95 3
14 106 7
14 117 9
14 118 10
14 127 1
14 152 4
14 157 7
14 171 3
14 210 9
14 245 4
14 253 10
14 264 4
14 298 10
15 0 9
15 13 7
15 20 2
15 27 2
15 91 2
15 97 7
15 99 8
15 110 1
15 113 5
15 115 9
15 144 5
15 158 10
15 174 7
15 182 7
15 186 8
15 198 7
15 203 10
15 209 7
15 215 10
15 271 7
16 0 3
16 31 1
16 32 10
16 38 1
16 41 8
16 53 2
16 58 1
16 62 7
16 63 4
16 64 9
16 71 5
16 151 6
