nodes 800
source 0
sink 799
arcs 64047
0 799 10
0 2 1
0 5 7
0 7 6
0 14 7
0 31 7
0 34 8
0 56 8
0 57 8
0 62 6
0 65 2
0 69 7
0 72 6
0 77 7
0 82 1
0 102 3
0 118 3
0 125 7
0 133 3
0 160 7
0 167 2
0 178 3
0 224 1
0 227 2
0 232 9
0 253 4
0 268 2
0 271 9
0 288 9
0 289 8
0 305 1
0 309 8
0 330 4
0 337 2
0 340 1
0 366 1
0 372 8
0 382 10
0 383 1
0 398 3
0 431 8
0 432 6
0 436 8
0 441 2
0 445 5
0 450 5
0 455 4
0 477 6
0 489 7
0 513 3
0 519 10
0 520 6
0 541 5
0 542 7
0 553 6
0 556 7
0 570 10
0 572 6
0 579 9
0 586 9
0 592 4
0 602 8
0 609 1
0 635 6
0 649 8
0 660 6
0 666 3
0 669 9
0 675 8
0 677 1
0 682 9
0 686 10
0 687 9
0 691 3
0 704 3
0 705 7
0 710 7
0 715 5
0 718 2
0 731 2
0 747 4
0 751 5
0 754 3
0 757 7
0 760 2
0 772 3
0 790 4
1 28 5
1 32 6
1 34 8
1 41 4
1 44 2
1 50 6
1 62 5
1 65 10
1 79 6
1 86 1
1 88 6
1 91 10
1 128 7
1 155 2
1 159 9
1 233 2
1 251 7
1 261 1
1 266 9
1 287 6
1 291 5
1 298 2
1 303 6
1 306 5
1 316 3
1 326 2
1 331 1
1 333 8
1 334 10
1 335 4
1 341 2
1 348 5
1 356 4
1 358 4
1 367 4
1 375 10
1 379 5
1 390 2
1 410 2
1 424 4
1 434 6
1 442 10
1 443 9
1 454 2
1 455 4
1 527 10
1 541 1
1 552 2
1 580 9
1 589 3
1 597 1
1 614 8
1 626 10
1 636 7
1 666 4
1 669 10
1 692 6
1 695 10
1 696 2
1 702 4
1 709 10
1 713 9
1 725 9
1 729 1
1 738 7
1 753 8
1 755 8
1 762 9
1 768 2
1 776 5
1 785 3
1 788 7
1 790 2
1 792 5
2 6 5
2 14 10
2 26 2
2 30 7
2 51 2
2 82 10
2 90 10
2 102 2
2 107 5
2 120 10
2 122 4
2 146 9
2 156 6
2 161 7
2 170 4
2 173 2
2 182 9
2 198 8
2 200 10
2 230 2
2 240 4
2 245 6
2 289 10
2 298 6
2 300 2
2 336 3
2 337 10
2 343 2
2 352 6
2 353 4
2 372 9
2 388 8
2 418 9
2 419 2
2 423 10
2 427 3
2 431 10
2 434 4
2 435 7
2 437 5
2 438 2
2 439 5
2 461 7
2 464 10
2 470 3
2 471 10
2 483 7
2 485 2
2 486 3
2 492 10
2 494 3
2 535 8
2 536 5
2 543 8
2 554 4
2 556 4
2 577 5
2 584 10
2 596 4
2 603 10
2 623 7
2 633 10
2 671 9
2 693 2
2 697 4
2 698 10
2 700 3
2 702 10
2 703 8
2 719 4
2 723 9
2 725 9
2 729 5
2 735 7
2 758 10
2 760 3
2 775 10
2 785 9
2 791 9
3 5 7
3 6 2
3 36 1
3 42 5
3 43 4
3 45 10
3 67 9
3 106 1
3 123 6
3 136 8
3 149 10
3 152 1
3 162 9
3 167 3
3 173 7
3 176 10
3 182 9
3 189 6
3 203 1
3 230 1
3 232 9
3 255 8
3 256 9
3 275 8
3 279 1
3 300 6
3 303 7
3 310 3
3 344 6
3 354 3
3 381 8
3 391 5
3 396 6
3 407 2
3 436 8
3 437 9
3 440 1
3 459 5
3 461 8
3 493 10
3 496 6
3 497 1
3 522 8
3 537 6
3 549 10
3 555 1
3 572 10
3 577 2
3 582 10
3 590 9
3 592 3
3 596 2
3 604 10
3 624 1
3 630 7
3 640 7
