nodes 200
source 0
sink 199
arcs 7965
0 199 10
0 4 5
0 9 9
0 11 3
0 13 2
0 20 4
0 21 7
0 22 9
0 25 1
0 41 10
0 43 7
0 50 3
0 51 8
0 60 9
0 66 8
0 68 1
0 79 2
0 84 10
0 85 6
0 99 1
0 100 5
0 105 1
0 108 4
0 117 2
0 120 8
0 121 5
0 123 10
0 124 8
0 131 10
0 133 3
0 148 7
0 151 9
0 155 10
0 159 3
0 160 6
0 165 2
0 166 4
0 170 10
0 173 8
0 176 3
0 185 2
0 186 7
1 12 2
1 20 1
1 23 3
1 26 3
1 27 2
1 31 9
1 32 8
1 33 1
1 34 10
1 36 2
1 38 9
1 42 7
1 45 3
1 47 9
1 53 10
1 54 5
1 61 4
1 67 8
1 70 8
1 73 2
1 80 10
1 81 3
1 88 10
1 89 4
1 91 2
1 96 10
1 102 2
1 104 7
1 108 7
1 109 6
1 112 9
1 113 1
1 116 1
1 118 2
1 122 5
1 125 4
1 130 6
1 137 8
1 138 2
1 139 5
1 141 5
1 142 8
1 152 2
1 174 3
1 178 8
1 187 10
1 188 10
1 189 3
1 197 5
1 198 2
1 199 3
2 19 3
2 21 7
2 39 2
2 47 1
2 48 3
2 59 1
2 68 3
2 75 7
2 78 1
2 89 3
2 90 6
2 93 6
2 106 5
2 116 7
2 119 6
2 121 3
2 123 7
2 133 6
2 134 1
2 138 10
2 140 10
2 142 10
2 143 9
2 147 1
2 150 8
2 152 3
2 158 9
2 160 7
2 165 3
2 169 1
2 173 4
2 178 9
2 179 10
2 186 7
2 188 10
2 189 2
2 190 7
2 195 1
3 1 10
3 5 4
3 6 9
3 10 6
3 14 1
3 16 8
3 17 4
3 24 2
3 26 3
3 29 2
3 31 8
3 33 9
3 36 6
3 47 6
3 52 7
3 54 1
3 55 6
3 61 5
3 65 5
3 73 7
3 79 9
3 80 5
3 82 1
3 87 2
3 88 5
3 95 10
3 96 3
3 104 3
3 108 10
3 126 8
3 134 8
3 138 5
3 140 8
3 143 2
3 144 2
3 145 5
3 153 3
3 162 4
3 170 8
3 171 1
3 174 2
3 180 3
3 186 7
3 194 8
3 195 7
4 2 2
4 3 6
4 4 6
4 20 2
4 43 5
4 49 1
4 55 7
4 67 9
4 74 2
4 75 8
4 80 7
4 90 1
4 102 7
4 106 1
4 115 1
4 121 8
4 126 3
4 130 7
4 131 4
4 136 1
4 138 4
4 141 6
4 144 5
4 145 10
4 146 4
4 151 1
4 153 6
4 156 10
4 161 4
4 168 1
4 175 1
4 181 3
4 182 5
4 189 2
4 195 7
4 199 7
5 6 1
5 8 8
5 16 9
5 19 10
5 21 2
5 39 8
5 40 9
5 41 6
5 42 4
5 44 5
5 51 9
5 56 6
5 58 10
5 62 7
5 64 2
5 70 9
5 74 10
5 83 7
5 95 1
5 96 9
5 103 7
5 106 1
5 108 2
5 114 6
5 122 9
