nodes 200
source 0
sink 199
arcs 3962
0 199 10
0 1 3
0 3 2
0 28 5
0 47 4
0 50 5
0 58 4
0 70 5
0 96 2
0 99 5
0 111 5
0 113 9
0 115 7
0 117 9
0 127 7
0 134 6
0 143 9
0 168 1
0 183 7
0 186 6
0 192 9
0 193 8
0 198 5
0 199 3
1 1 10
1 7 4
1 9 10
1 22 7
1 23 10
1 36 4
1 39 4
1 40 7
1 69 1
1 77 3
1 95 10
1 106 5
1 107 9
1 109 6
1 138 3
1 139 6
1 157 1
1 158 5
1 166 5
1 167 7
1 172 9
1 175 4
1 178 5
1 191 9
1 196 9
2 18 8
2 25 2
2 36 5
2 43 4
2 47 10
2 48 7
2 49 3
2 58 10
2 62 5
2 68 9
2 78 10
2 83 2
2 93 3
2 94 9
2 97 2
2 105 7
2 106 1
2 109 6
2 146 1
2 147 6
2 153 5
2 161 4
2 178 10
2 183 6
2 189 8
3 23 2
3 26 9
3 36 4
3 37 9
3 49 7
3 57 9
3 68 4
3 69 7
3 76 1
3 78 10
3 82 1
3 96 8
3 97 5
3 116 5
3 123 7
3 127 3
3 128 7
3 136 9
3 158 4
3 168 1
3 176 10
3 186 5
3 191 2
3 197 1
4 14 3
4 17 2
4 20 5
4 22 4
4 45 6
4 49 7
4 69 8
4 99 6
4 104 9
4 113 6
4 116 7
4 119 8
4 134 6
4 135 1
4 142 4
4 143 4
4 155 5
4 167 6
4 173 1
4 175 7
4 176 5
4 183 3
4 184 9
5 20 5
5 26 7
5 27 10
5 31 9
5 39 8
5 40 5
5 49 1
5 55 7
5 83 8
5 90 5
5 96 2
5 97 4
5 100 10
5 101 10
5 102 4
5 120 5
5 142 6
5 152 6
5 167 9
6 4 9
6 21 1
6 23 7
6 37 6
6 38 4
6 56 4
6 86 3
6 92 5
6 96 5
6 99 8
6 132 10
6 161 6
6 170 10
6 178 5
6 179 8
6 188 6
6 192 5
6 194 6
7 8 6
7 38 9
7 47 6
7 48 9
7 49 7
7 58 9
7 68 9
7 69 4
7 71 5
7 86 2
7 87 7
7 89 4
7 95 10
7 109 2
7 114 10
7 135 2
7 183 6
7 190 3
7 196 10
8 1 3
8 3 2
8 13 8
8 21 10
8 42 9
8 74 9
8 79 1
8 99 3
8 114 9
8 118 5
8 136 4
8 143 6
8 166 3
8 178 6
8 181 10
8 195 1
9 17 8
9 24 9
9 34 4
9 40 2
9 56 6
9 68 2
9 86 1
9 91 3
9 94 10
9 119 8
9 122 1
9 143 6
9 145 9
9 167 7
9 188 1
9 193 6
10 18 1
10 35 9
10 45 8
10 63 10
10 68 1
10 69 9
10 81 7
10 104 5
10 105 5
10 115 8
10 124 10
10 133 5
10 136 5
10 142 10
10 145 2
10 148 1
10 172 1
10 174 10
10 195 4
10 196 10
11 0 6
11 19 6
11 46 7
11 48 9
11 49 8
11 60 6
11 68 5
11 74 8
11 81 7
11 86 5
11 93 7
11 95 10
11 103 9
11 109 5
11 123 2
11 129 4
11 130 6
11 131 2
11 132 4
11 167 6
11 170 7
11 175 4
11 178 7
11 192 7
11 197 1
11 198 5
12 31 10
12 38 1
12 43 7
12 45 7
12 64 9
12 83 3
12 87 3
12 92 6
12 123 8
12 129 2
12 132 2
12 137 6
12 142 7
12 144 6
12 145 9
12 147 3
12 154 2
12 188 7
12 195 6
13 6 6
13 8 3
13 35 9
13 66 7
13 76 5
13 87 1
13 110 7
13 124 4
13 175 9
13 183 1
13 186 3
13 199 2
14 15 2
14 34 5
14 35 10
14 52 4
14 55 7
14 65 4
14 71 8
14 90 8
14 95 3
14 117 9
14 121 3
14 129 5
14 130 3
14 142 8
14 159 7
14 177 5
15 4 10
15 8 6
15 20 1
15 31 4
15 34 6
15 41 10
15 55 10
15 59 4
15 75 5
15 84 4
15 97 4
15 115 10
15 129 9
15 134 5
15 140 4
15 141 5
15 146 3
15 165 9
15 170 1
15 174 6
15 179 4
15 198 1
16 7 4
16 9 6
16 25 3
16 37 2
16 44 9
16 49 9
16 61 10
16 68 3
16 72 6
16 82 8
16 91 7
16 95 9
16 101 7
16 105 10
16 132 9
16 133 6
16 142 6
16 144 1
16 152 10
16 167 10
16 182 7
16 185 7
16 187 10
16 190 1
17 26 2
17 46 5
17 48 5
17 69 10
17 80 6
17 83 9
17 89 10
17 91 1
17 99 4
17 102 2
17 108 4
17 110 10
17 113 7
17 127 10
17 130 1
17 131 2
17 138 9
17 156 1
17 175 9
17 183 4
17 195 3
18 14 9
18 23 3
18 41 7
18 53 4
18 68 6
18 76 6
18 93 4
18 98 6
18 107 2
18 121 6
18 132 2
18 159 4
19 2 10
19 14 3
19 23 9
19 30 9
19 60 3
19 72 6
19 77 5
19 87 10
19 92 2
19 94 5
19 105 6
19 108 4
19 116 10
19 118 3
19 120 6
19 143 3
19 156 2
19 161 7
19 164 6
19 165 6
19 175 5
19 176 10
19 178 2
20 1 5
20 5 9
20 17 7
20 38 4
20 39 1
20 48 5
20 52 9
20 55 1
20 64 6
20 66 8
20 67 3
20 78 3
20 79 9
20 94 4
20 107 3
20 112 2
20 123 8
20 136 8
20 141 4
20 167 5
20 181 2
20 183 10
20 185 8
21 1 4
21 25 1
21 45 1
21 49 4
21 58 8
21 64 3
21 95 4
21 100 10
21 109 1
21 130 6
21 140 7
21 163 10
21 180 9
21 186 3
21 194 8
21 198 10
22 10 1
22 12 1
22 24 2
22 36 2
22 43 1
22 44 6
22 53 10
22 63 9
22 64 1
22 71 10
22 105 1
22 108 6
22 114 4
22 136 4
22 140 8
22 180 6
22 186 5
23 2 2
23 8 9
23 10 10
23 13 7
23 67 10
23 75 6
23 90 2
23 97 6
23 121 7
23 140 6
23 153 9
23 155 9
23 158 4
23 160 8
23 171 9
23 174 5
23 187 9
23 191 7
23 192 1
24 2 5
24 14 8
24 44 9
24 49 7
24 55 2
24 60 10
24 64 9
24 69 9
24 73 3
24 81 10
24 95 3
24 118 8
24 144 4
24 151 7
24 152 7
24 166 8
24 171 1
24 177 9
24 191 1
25 11 7
25 15 10
25 22 4
25 27 7
25 31 9
25 33 7
25 42 7
25 61 5
25 80 2
25 82 7
25 98 3
25 106 7
25 110 8
25 114 10
25 116 9
25 123 7
25 126 10
25 134 9
25 139 4
25 142 3
25 177 4
25 179 5
25 185 7
25 196 2
26 1 7
26 23 3
26 37 2
26 51 10
26 64 2
26 81 3
26 84 6
26 102 10
26 104 3
26 105 8
26 118 9
26 125 10
26 143 3
26 145 7
26 155 7
26 158 7
26 174 8
26 186 8
26 187 2
26 193 4
26 196 2
27 11 5
27 16 7
27 19 4
27 24 2
27 31 1
27 33 3
27 52 10
27 57 3
27 59 1
27 63 5
27 71 8
27 92 3
27 111 9
27 191 10
27 192 4
27 197 8
28 17 10
28 19 9
28 20 5
28 26 5
28 35 10
28 49 4
28 64 3
28 74 8
28 76 2
28 84 5
28 104 1
28 119 5
28 126 6
28 132 3
28 133 3
28 142 5
28 143 9
28 150 9
28 164 4
28 171 4
28 188 8
29 8 2
29 16 3
29 20 1
29 32 4
29 46 5
29 50 7
29 55 9
29 65 10
29 72 3
29 92 6
29 97 9
29 109 1
29 112 1
29 113 4
29 117 6
29 121 1
29 144 1
29 164 6
29 175 3
29 186 9
29 195 8
30 11 7
30 28 9
30 34 2
30 42 9
30 45 1
30 49 7
30 50 8
30 70 7
30 72 7
30 112 10
30 120 6
30 128 4
30 137 1
30 141 10
30 158 7
30 159 6
30 170 2
30 186 6
31 2 1
31 8 1
31 18 1
31 47 8
31 50 10
31 77 4
31 91 7
31 93 5
31 96 1
31 98 3
31 102 8
31 113 6
31 123 7
31 130 5
31 148 2
31 162 6
31 172 2
31 199 9
32 7 10
32 8 4
32 9 8
32 16 4
32 37 6
32 52 10
32 53 2
32 58 1
32 72 8
32 74 3
32 82 9
32 88 3
32 119 5
32 144 5
32 156 10
32 165 3
32 167 4
32 188 6
32 190 7
32 191 6
32 198 2
33 7 1
33 31 2
33 41 4
33 57 5
33 81 6
33 89 10
33 90 7
33 100 5
33 101 1
33 119 3
33 121 6
33 154 1
33 157 4
33 159 10
33 167 9
33 184 4
33 197 10
34 0 6
34 1 2
34 5 3
34 25 9
34 30 9
34 39 3
34 57 4
34 60 8
34 91 2
34 95 6
34 112 9
34 129 5
34 144 4
34 145 5
34 150 10
34 171 10
34 185 8
35 9 7
35 10 3
35 29 2
35 36 7
35 44 3
35 50 4
35 51 2
35 75 5
35 76 7
35 98 2
35 112 3
35 123 10
35 131 6
35 149 8
35 151 4
35 159 2
35 163 1
35 173 3
35 174 1
35 184 6
35 188 5
35 190 3
35 194 1
36 17 1
36 27 8
36 42 3
36 71 3
36 80 1
36 81 8
36 82 2
36 92 10
36 97 9
36 100 5
36 102 2
36 105 1
36 124 7
36 128 10
36 131 9
36 140 5
36 141 9
36 145 5
36 148 7
36 149 9
36 151 9
36 155 10
36 162 10
36 179 8
36 185 2
36 190 2
36 192 8
37 1 6
37 6 5
37 19 8
37 25 7
37 30 1
37 32 10
37 95 3
37 101 3
37 114 1
37 120 7
37 125 2
37 133 1
37 134 2
37 143 2
37 150 8
37 152 9
37 156 4
37 159 3
37 172 3
37 174 10
38 39 9
38 60 9
38 67 9
38 68 9
38 84 9
38 86 1
38 136 1
38 142 2
38 145 9
38 152 5
38 159 4
38 188 5
38 194 9
39 7 3
39 14 3
39 34 3
39 38 6
39 40 2
39 41 7
39 51 6
39 73 6
39 74 2
39 77 7
39 108 8
39 123 10
39 153 7
40 9 4
40 20 1
40 27 1
40 28 10
40 37 1
40 45 10
40 98 7
40 119 2
40 127 8
40 141 2
40 149 7
40 150 3
40 156 9
40 163 5
40 177 9
40 188 3
40 195 4
40 196 4
41 10 9
41 21 5
41 32 7
41 41 2
41 43 5
41 59 5
41 69 6
41 73 7
41 91 4
41 93 3
41 94 5
41 106 2
41 134 5
41 141 3
41 144 8
41 162 3
41 177 10
41 179 8
41 180 3
41 188 10
42 7 4
42 8 6
42 14 6
42 19 1
42 20 3
42 24 3
42 45 8
42 64 6
42 83 5
42 99 2
42 111 7
42 117 5
42 122 5
42 142 2
42 154 6
42 158 5
42 164 1
42 166 7
42 171 5
42 198 9
43 7 3
43 20 9
43 33 7
43 42 1
43 46 5
43 75 8
43 81 5
43 83 10
43 106 2
43 130 6
43 158 9
43 167 4
43 168 9
43 176 6
43 191 8
44 20 2
44 22 4
44 38 7
44 44 3
44 52 3
44 53 4
44 63 10
44 71 1
44 81 2
44 106 9
44 132 6
44 142 9
44 156 4
44 157 7
44 177 5
44 182 3
44 185 4
44 189 1
44 194 1
45 18 1
45 29 4
45 51 7
45 53 8
45 67 2
45 79 7
45 86 4
45 106 1
45 111 3
45 146 2
45 155 4
45 156 2
45 158 2
45 164 8
45 176 5
45 180 10
45 188 6
45 191 4
46 4 1
46 11 9
46 18 9
46 29 9
46 31 6
46 44 8
46 45 8
46 57 3
46 78 5
46 86 7
46 115 7
46 122 7
46 126 4
46 128 6
46 130 2
46 145 7
46 163 10
46 174 3
46 190 7
47 9 7
47 26 8
47 73 1
47 149 3
47 155 6
47 168 8
47 172 9
48 2 4
48 10 8
48 17 8
48 22 4
48 24 9
48 61 1
48 63 3
48 73 2
48 86 3
48 105 3
48 107 9
48 123 10
48 126 7
