nodes 100
source 0
sink 99
arcs 3040
0 99 10
0 2 2
0 7 7
0 10 4
0 14 7
0 22 1
0 23 8
0 25 4
0 32 6
0 33 10
0 38 3
0 41 7
0 42 1
0 48 5
0 50 9
0 51 3
0 56 9
0 57 1
0 62 3
0 63 10
0 69 9
0 77 9
0 79 1
0 84 5
0 86 6
0 92 3
0 98 8
1 7 4
1 14 6
1 19 4
1 20 4
1 22 9
1 25 2
1 30 6
1 32 8
1 35 9
1 36 2
1 43 8
1 53 1
1 55 9
1 56 2
1 61 4
1 65 10
1 68 5
1 70 5
1 75 7
1 78 1
1 82 1
1 89 2
1 90 10
1 93 3
2 0 1
2 6 7
2 7 4
2 9 9
2 11 6
2 12 1
2 15 3
2 17 1
2 18 4
2 24 6
2 29 1
2 33 4
2 34 3
2 35 9
2 40 6
2 42 4
2 45 10
2 47 9
2 50 8
2 52 3
2 55 4
2 63 6
2 66 6
2 69 5
2 70 9
2 71 8
2 72 6
2 75 6
2 77 8
2 78 2
2 79 10
2 82 4
2 83 5
2 87 3
2 88 7
2 91 6
2 94 1
2 96 2
2 97 5
2 98 2
2 99 1
3 4 3
3 7 1
3 30 1
3 32 1
3 36 7
3 38 2
3 48 10
3 50 6
3 52 10
3 57 3
3 67 5
3 69 9
3 71 9
3 75 6
3 83 5
3 90 8
3 95 1
4 4 6
4 6 4
4 10 3
4 15 9
4 16 9
4 20 3
4 21 4
4 23 4
4 24 2
4 25 4
4 28 3
4 31 8
4 41 7
4 44 10
4 48 4
4 54 9
4 61 7
4 65 1
4 66 4
4 68 2
4 69 7
4 70 7
4 72 7
4 73 5
4 76 8
4 78 3
4 80 8
4 90 7
4 91 2
4 95 1
4 97 9
5 4 8
5 5 3
5 6 2
5 7 4
5 8 4
5 10 5
5 11 4
5 12 4
5 16 7
5 17 8
5 22 1
5 23 10
5 26 10
5 30 4
5 32 7
5 33 10
5 38 7
5 42 4
5 45 10
5 46 5
5 48 5
5 49 8
5 50 5
5 58 2
5 60 4
5 64 7
5 77 3
5 79 5
5 82 1
5 85 8
6 0 4
6 4 6
6 6 4
6 7 1
6 11 5
6 20 1
6 23 7
6 26 10
6 27 6
6 31 6
6 32 4
6 35 3
6 38 3
6 40 8
6 42 9
6 45 10
6 55 3
6 58 7
6 62 6
6 64 7
6 67 4
6 69 4
6 72 6
6 75 10
6 77 5
6 80 2
6 81 10
6 84 6
6 87 5
6 88 7
6 89 2
6 91 5
6 92 3
6 96 10
6 98 9
7 1 1
7 2 1
7 4 10
7 6 7
7 8 6
7 12 2
7 17 7
7 19 6
7 22 5
7 24 10
7 25 3
7 33 4
7 37 8
7 39 10
7 40 9
7 42 6
7 50 1
7 53 2
7 57 9
7 65 9
7 74 10
7 81 1
7 83 5
7 96 6
7 97 10
7 98 10
7 99 1
8 2 7
8 3 5
8 8 1
8 13 6
8 14 5
8 18 6
8 22 7
8 29 5
8 33 8
8 36 3
8 42 7
8 44 8
8 46 6
8 48 3
8 53 10
8 54 3
8 58 1
8 62 8
8 64 9
8 69 3
8 71 8
8 81 9
8 87 8
8 91 6
8 93 8
8 99 6
9 3 9
9 6 9
9 12 5
9 14 2
9 17 1
9 18 6
9 25 10
9 28 6
9 29 9
9 38 6
9 39 8
9 46 5
9 47 3
9 48 8
9 51 4
9 53 4
9 58 6
9 59 7
9 61 10
9 63 6
9 67 3
9 69 7
9 77 10
9 80 10
9 83 4
9 86 10
9 87 1
9 90 9
9 91 6
9 95 9
9 97 2
9 98 10
10 2 6
10 3 3
10 10 2
10 12 8
10 18 4
10 20 4
10 22 4
10 23 6
10 26 8
10 28 2
10 29 8
10 30 1
10 32 2
10 33 5
10 35 8
10 36 9
10 38 9
10 44 9
10 45 4
10 48 2
10 49 4
10 50 2
10 54 1
10 55 9
10 57 1
10 64 3
10 69 4
10 70 5
10 75 10
10 76 1
10 81 8
10 86 6
10 87 8
10 88 7
10 89 6
10 94 8
10 96 1
10 97 4
10 98 5
11 0 7
11 4 9
11 5 7
11 7 8
11 10 10
11 11 1
11 12 8
11 14 8
11 15 1
11 18 9
11 25 5
11 27 1
11 39 1
11 40 7
11 41 1
11 43 9
11 44 7
11 48 3
11 50 8
11 58 1
11 65 5
11 69 5
11 74 9
11 76 6
11 78 6
11 80 7
11 82 4
11 83 4
11 84 10
11 85 10
11 86 6
11 93 4
11 94 4
11 99 6
12 3 6
12 7 7
12 8 7
12 9 4
12 10 8
12 12 5
12 13 3
12 15 9
12 21 3
12 23 5
12 25 4
12 26 3
12 30 6
12 31 1
12 34 1
12 36 9
12 41 1
12 46 7
12 49 8
12 50 9
12 52 7
12 55 9
12 57 9
12 62 2
12 68 7
12 69 10
12 70 1
12 71 8
12 72 10
12 74 4
12 75 10
12 76 10
12 77 7
12 78 8
12 82 2
12 83 6
12 85 3
12 94 8
12 99 4
13 4 7
13 6 3
13 13 9
13 18 5
13 20 4
13 22 5
13 24 3
13 35 7
13 36 9
13 40 3
13 41 3
13 43 3
13 45 1
13 46 10
13 48 3
13 52 4
13 56 2
13 59 1
13 60 6
13 64 7
13 65 8
13 66 7
13 74 6
13 83 4
13 84 7
13 86 1
13 87 1
13 88 7
13 92 2
14 1 4
14 5 6
14 6 1
14 16 4
14 17 7
14 18 3
14 20 3
14 23 10
14 24 8
14 31 10
14 32 1
14 34 9
14 36 10
14 41 6
14 47 9
14 57 4
14 58 6
14 63 2
14 65 8
14 74 1
14 76 10
14 77 5
14 78 10
14 80 8
14 84 8
14 86 5
14 89 6
14 94 8
14 95 8
14 98 3
15 0 3
15 2 8
15 5 3
15 6 6
15 11 3
15 13 10
15 16 4
15 18 5
15 23 3
15 25 1
15 26 10
15 31 5
15 36 6
15 37 4
15 44 3
15 45 8
15 46 2
15 47 8
15 48 7
15 54 6
15 55 3
15 56 9
15 61 6
15 63 2
15 76 6
15 78 7
15 79 1
15 80 5
15 82 8
15 85 4
15 88 1
15 89 7
15 90 4
15 97 10
16 3 5
16 4 9
16 5 10
16 6 10
16 8 2
16 9 4
16 13 4
16 14 5
16 17 10
16 19 2
16 21 4
