nodes 100
source 0
sink 99
arcs 1953
0 99 10
0 0 5
0 10 2
0 20 10
0 21 9
0 22 3
0 23 7
0 25 8
0 28 7
0 32 6
0 40 9
0 41 1
0 43 1
0 54 8
0 66 4
0 77 6
0 85 5
0 87 2
0 88 2
0 91 4
1 1 9
1 6 9
1 7 8
1 11 1
1 13 4
1 15 10
1 19 10
1 20 2
1 21 3
1 31 6
1 38 4
1 46 5
1 50 2
1 52 3
1 53 2
1 56 1
1 60 9
1 66 9
1 67 4
1 69 1
1 73 3
1 78 7
1 79 1
1 88 6
1 89 8
1 93 5
1 96 2
2 0 1
2 3 5
2 6 5
2 14 9
2 27 9
2 36 4
2 39 7
2 50 3
2 56 9
2 68 7
2 70 10
2 77 1
2 83 8
2 86 2
2 89 5
2 97 4
2 98 1
3 4 4
3 6 1
3 8 5
3 14 3
3 22 8
3 26 7
3 33 1
3 37 10
3 42 6
3 47 4
3 52 5
3 61 6
3 69 5
3 82 9
3 90 9
3 91 9
3 99 7
4 5 7
4 6 8
4 7 5
4 8 1
4 12 1
4 13 2
4 14 7
4 32 1
4 40 5
4 45 2
4 51 9
4 52 4
4 60 9
4 61 7
4 64 8
4 66 7
4 67 9
4 69 1
4 74 8
4 90 4
4 91 8
4 92 2
4 98 4
4 99 2
5 1 3
5 6 6
5 11 2
5 13 4
5 14 5
5 21 6
5 26 4
5 28 8
5 36 9
5 40 1
5 42 2
5 59 7
5 64 10
5 68 4
5 69 5
5 78 5
5 81 2
5 82 4
5 88 4
5 99 5
6 3 5
6 9 6
6 10 8
6 12 8
6 24 8
6 33 5
6 34 9
6 45 4
6 51 5
6 60 6
6 62 7
6 65 10
6 72 6
6 76 2
6 78 10
6 80 9
6 86 2
6 91 4
6 94 5
7 2 7
7 3 8
7 5 10
7 10 10
7 16 3
7 17 5
7 22 6
7 25 9
7 32 8
7 37 10
7 41 1
7 42 1
7 43 7
7 45 6
7 47 8
7 50 8
7 57 6
7 62 3
7 63 10
7 66 8
7 69 8
7 77 2
7 78 10
7 80 4
7 81 5
7 82 4
7 87 3
7 88 8
7 90 9
7 94 4
7 97 4
8 0 3
8 12 7
8 32 4
8 44 1
8 57 7
8 61 4
8 68 10
8 71 5
8 79 4
8 80 7
8 84 6
8 85 6
8 96 5
8 97 5
9 3 1
9 10 6
9 12 5
9 13 6
9 15 9
9 18 7
9 21 8
9 29 9
9 31 9
9 37 10
9 47 7
9 51 9
9 65 2
9 66 2
9 67 10
9 72 8
9 73 10
9 76 4
9 77 3
9 79 3
9 85 5
9 90 1
9 92 2
9 97 3
9 99 8
10 4 10
10 12 10
10 33 5
10 38 10
10 42 3
10 47 2
10 48 6
10 52 1
10 79 6
10 83 9
10 94 7
10 99 9
11 0 10
11 5 10
11 20 1
11 22 9
11 24 7
11 25 5
11 26 9
11 29 10
11 31 1
11 33 3
11 42 2
11 44 9
11 46 3
11 54 4
11 59 5
11 61 6
11 70 9
11 72 1
11 86 3
11 95 8
12 2 10
12 14 3
12 16 8
12 24 7
12 34 2
12 35 1
12 36 2
12 37 8
12 41 2
12 44 9
12 47 1
12 62 6
12 64 2
12 66 10
12 71 3
12 76 4
12 87 6
12 91 5
12 96 6
12 98 10
13 2 2
13 8 7
13 11 5
13 15 8
13 21 1
13 22 1
13 31 2
13 33 7
13 37 7
13 38 2
13 39 4
13 41 2
13 43 9
13 46 10
13 51 10
13 53 4
13 59 7
13 61 5
13 68 5
13 71 10
13 80 10
13 82 6
13 97 9
14 3 4
14 8 10
14 9 4
14 11 1
14 14 10
14 17 10
14 29 8
14 34 2
14 43 1
14 49 6
14 55 10
14 56 7
14 57 2
14 61 10
14 64 8
14 68 2
14 69 10
14 70 1
14 73 1
14 76 4
14 83 8
14 84 2
14 87 3
14 88 10
14 93 10
14 96 7
14 98 5
15 7 5
15 12 8
15 15 9
15 20 3
15 23 9
15 24 5
15 30 9
15 32 8
15 34 5
15 41 1
15 42 6
15 43 1
15 45 9
15 47 3
15 48 7
15 50 6
15 64 10
15 85 9
15 87 1
15 92 5
15 93 10
16 2 9
16 7 9
16 8 7
16 19 9
16 23 9
16 28 3
16 42 3
16 43 5
16 44 9
16 52 1
16 54 1
16 58 7
16 74 7
16 90 6
16 91 6
16 99 5
17 7 8
17 13 4
17 22 4
17 31 2
17 41 5
17 45 5
17 48 9
17 59 8
17 62 2
17 65 2
17 67 7
17 69 7
17 80 9
17 85 5
17 89 4
17 94 4
18 1 10
18 7 1
18 8 4
18 18 7
18 21 6
18 23 3
18 24 6
18 31 9
18 32 3
18 46 2
18 48 3
18 66 2
18 68 1
18 74 9
18 76 4
18 85 8
18 87 3
18 90 1
18 93 6
18 95 9
19 6 7
19 10 2
19 15 10
19 17 9
19 20 2
19 26 6
19 28 6
19 34 2
19 36 10
19 37 2
19 46 6
19 48 7
19 50 3
19 54 9
19 64 10
19 65 9
19 68 2
19 69 7
19 76 3
19 97 7
20 5 5
20 12 2
20 15 9
20 18 3
20 35 8
20 51 2
20 62 1
20 65 5
20 70 3
20 74 7
20 80 4
20 81 4
20 85 5
20 86 7
20 89 4
20 92 5
20 95 9
21 13 5
21 33 1
21 34 8
21 38 8
21 39 7
21 45 8
21 47 10
21 48 8
21 53 5
21 54 3
21 57 9
21 58 10
21 59 6
21 60 9
21 61 7
21 63 8
21 71 9
21 74 9
21 82 4
21 87 7
21 98 8
22 3 2
22 11 6
22 26 2
22 32 4
22 37 10
22 39 2
22 47 4
22 54 7
22 56 2
22 57 9
22 58 4
22 65 9
22 73 10
22 74 1
22 76 4
22 79 7
23 1 6
23 17 1
23 24 7
23 25 8
23 33 1
23 47 3
23 51 3
23 56 4
23 58 1
23 59 8
23 68 3
23 71 6
23 72 9
23 73 5
23 75 7
23 80 9
23 82 7
23 89 6
23 93 5
23 97 6
24 10 2
24 11 10
24 25 7
24 28 9
24 29 2
24 30 2
24 34 1
24 38 8
24 49 8
24 51 8
24 52 1
24 54 5
24 55 7
24 61 9
24 64 8
24 65 8
24 84 4
24 88 10
24 91 9
24 95 7
24 96 7
24 97 10
25 6 7
25 20 2
25 22 8
25 28 7
25 31 10
25 32 2
25 37 5
25 50 6
25 51 5
25 57 9
25 59 1
25 61 10
25 62 4
25 66 7
25 67 7
25 68 2
25 74 3
25 75 8
25 76 8
25 81 4
25 89 2
26 3 6
26 4 8
26 5 7
26 13 2
26 14 10
26 29 2
26 33 10
26 36 9
26 40 1
26 46 10
26 49 5
26 50 9
26 52 7
26 59 7
26 64 9
26 71 1
26 75 2
26 77 9
26 78 10
26 88 9
26 91 5
27 3 7
27 5 9
27 6 8
27 8 4
27 10 7
27 13 8
27 20 8
27 22 1
27 26 8
27 32 7
27 56 2
27 58 9
27 60 8
27 64 7
27 66 8
27 80 10
27 89 9
27 93 7
28 3 1
28 9 9
28 12 9
28 14 3
28 15 8
28 20 9
28 24 1
28 34 8
28 35 10
28 37 6
28 38 9
28 41 1
28 46 7
28 53 4
28 59 3
28 62 3
28 65 4
28 70 4
28 72 5
28 76 3
28 79 6
28 80 3
28 85 1
28 87 7
28 90 3
28 94 5
28 99 1
29 1 9
29 3 4
29 8 4
29 12 10
29 15 10
29 21 2
29 30 10
29 36 10
29 37 3
29 41 7
29 53 6
29 69 7
29 71 7
29 79 7
29 80 5
29 82 8
29 83 6
29 84 8
29 85 9
29 87 10
29 90 4
30 12 9
30 16 6
30 17 2
30 19 1
30 21 10
30 34 3
30 36 9
30 37 7
30 40 4
30 44 7
30 48 4
30 50 8
30 51 10
30 55 3
30 57 2
30 61 5
30 65 3
30 70 7
30 73 9
30 76 1
30 84 8
30 88 6
30 97 1
30 99 10
31 0 5
31 6 10
31 12 1
31 13 9
31 22 8
31 27 2
31 30 8
31 32 4
31 44 5
31 48 9
31 55 9
31 60 1
31 69 10
31 71 1
31 74 9
31 77 7
31 81 4
31 85 10
31 86 8
32 9 4
32 14 9
32 15 1
32 23 7
32 26 3
32 35 8
32 42 2
32 49 3
32 53 2
32 55 6
32 68 7
32 69 10
32 76 10
32 84 9
32 88 4
32 97 8
33 3 3
33 12 9
33 18 2
33 32 8
33 41 10
33 46 5
33 47 9
33 58 2
33 61 8
33 65 4
33 73 3
33 75 1
33 81 8
33 84 8
33 85 3
33 86 9
33 87 8
33 95 3
33 96 5
33 99 10
34 6 5
34 14 4
34 16 5
34 24 6
34 31 1
34 56 7
34 58 5
34 59 7
34 60 10
34 77 3
34 78 5
34 87 5
34 93 8
35 11 8
35 16 8
35 30 1
35 42 4
35 43 1
35 49 9
35 53 10
35 61 2
35 69 5
35 73 7
35 74 3
35 80 9
35 83 9
35 84 10
35 92 3
35 95 9
35 96 5
35 98 7
36 16 1
36 19 10
36 32 2
36 38 7
36 39 2
36 42 3
36 45 6
36 48 7
36 52 10
36 54 7
36 56 5
36 58 6
36 61 10
36 64 1
36 78 2
36 80 7
36 85 1
36 89 3
36 90 8
36 95 7
36 99 5
37 0 8
37 18 3
37 25 2
37 32 9
37 38 6
37 43 3
37 44 1
37 53 10
37 59 2
37 60 9
37 64 2
37 77 10
37 89 2
37 91 7
37 93 8
37 99 7
38 5 10
38 8 7
38 9 3
38 33 1
38 36 4
38 37 10
38 38 3
38 42 3
38 43 3
38 44 10
38 45 8
38 52 9
38 59 9
38 63 10
38 74 4
39 5 4
39 10 2
39 13 5
39 18 7
39 20 9
39 21 1
39 23 10
39 41 10
39 44 8
39 47 10
39 51 7
39 53 7
39 58 1
39 59 7
39 61 2
39 63 5
39 64 2
39 66 8
39 70 3
39 78 8
39 79 2
39 89 3
39 93 4
39 94 1
39 95 1
40 0 8
40 3 9
40 8 10
40 9 10
40 16 10
40 17 8
40 26 7
40 31 9
40 32 6
40 33 6
40 34 3
40 35 8
40 36 1
40 38 8
40 46 3
40 51 2
40 53 4
40 58 4
40 60 7
40 66 7
40 71 6
40 82 8
40 89 2
40 90 6
40 91 5
41 7 7
41 8 6
41 11 7
41 15 5
41 21 2
41 32 1
41 35 8
41 40 1
41 44 9
41 45 7
41 47 1
41 52 3
41 53 3
41 63 3
41 64 4
41 65 10
41 71 8
41 73 5
41 74 5
41 89 3
41 91 10
41 92 7
41 93 8
41 95 8
41 96 2
42 15 2
42 16 8
42 24 5
42 25 9
42 29 1
42 33 3
42 35 10
42 36 4
42 43 9
42 45 4
42 48 6
42 53 10
42 56 10
42 63 1
42 66 7
42 70 7
42 75 9
42 79 5
42 82 6
42 85 10
42 97 10
43 2 10
43 3 4
43 4 7
43 17 5
43 22 3
43 23 8
43 29 8
43 30 8
43 32 8
43 43 9
43 53 4
43 63 7
43 67 5
43 74 8
43 75 2
43 77 8
43 89 8
43 95 4
44 5 7
44 7 10
44 8 1
44 15 7
44 20 2
44 26 1
44 33 1
44 34 6
44 37 10
44 39 2
44 42 2
44 43 5
44 48 3
44 49 3
44 59 7
44 60 5
44 64 7
44 69 7
44 70 5
44 80 7
44 82 7
44 85 4
44 86 5
44 88 9
44 95 10
44 98 7
45 6 4
45 8 7
45 13 8
45 14 7
45 15 7
45 18 2
45 19 7
45 43 3
45 52 1
45 53 2
45 57 9
45 60 8
45 61 4
45 63 10
45 65 7
45 71 8
45 72 5
45 81 9
45 82 9
45 91 1
46 0 8
46 5 7
46 7 7
46 16 5
46 18 1
46 21 9
46 25 3
46 26 2
46 28 5
46 30 3
46 33 5
46 41 5
46 45 1
46 62 3
46 64 7
46 70 6
46 71 8
46 79 3
46 82 2
46 83 2
46 89 10
46 91 8
46 93 2
47 11 3
47 14 1
47 15 3
47 22 1
47 25 3
47 26 4
47 27 7
47 40 2
47 44 5
47 45 8
47 46 5
47 47 5
47 59 9
47 66 5
47 70 10
47 74 6
47 78 9
47 81 5
47 82 7
48 4 2
48 9 3
48 16 5
48 19 2
48 36 9
48 38 10
48 40 2
48 46 3
48 51 6
48 52 8
48 58 10
48 63 6
48 69 10
48 70 1
48 73 2
48 76 5
48 78 8
48 80 8
48 81 1
48 89 10
48 91 10
48 94 10
48 99 2
49 4 7
49 12 1
49 24 5
49 36 3
49 42 2
49 45 9
49 48 10
49 49 8
49 50 10
49 57 6
49 64 6
49 68 4
49 74 6
49 78 2
49 82 4
49 84 3
49 91 2
50 9 8
50 10 7
50 12 6
50 13 10
50 23 9
50 31 9
50 32 4
50 42 5
50 46 5
50 47 3
50 51 7
50 54 3
50 64 4
50 69 8
50 77 3
50 78 9
50 82 4
50 85 10
50 96 6
50 97 10
50 98 8
51 9 7
51 19 2
51 20 4
51 21 8
51 27 1
51 32 1
51 41 2
51 42 4
51 45 3
51 52 7
51 60 8
51 61 2
51 64 8
51 73 1
51 77 5
51 86 10
51 87 7
51 91 8
51 96 6
51 97 2
52 10 5
52 14 10
52 18 10
52 32 6
52 35 9
52 39 3
52 45 10
52 60 3
52 62 10
52 67 3
52 69 2
52 78 8
52 79 9
52 81 9
52 82 1
52 93 10
52 96 3
53 2 7
53 3 5
53 16 7
53 19 5
53 30 3
53 34 6
53 40 3
53 48 7
53 49 2
53 57 9
53 59 4
53 63 8
53 64 8
53 67 1
