nodes 600
source 0
sink 599
arcs 36073
0 599 10
0 16 7
0 19 5
0 30 8
0 36 8
0 42 1
0 45 1
0 82 10
0 96 2
0 112 5
0 114 8
0 127 5
0 132 2
0 147 1
0 177 8
0 182 3
0 210 5
0 213 6
0 226 5
0 232 10
0 247 2
0 258 6
0 262 4
0 265 4
0 269 1
0 287 10
0 290 5
0 291 3
0 293 8
0 294 9
0 305 3
0 320 4
0 322 10
0 334 9
0 353 10
0 355 10
0 373 6
0 378 6
0 381 8
0 384 2
0 390 7
0 395 1
0 415 10
0 427 3
0 429 7
0 441 4
0 443 5
0 448 6
0 454 10
0 474 5
0 490 9
0 516 10
0 524 1
0 555 10
0 556 5
0 557 1
0 567 9
0 572 1
0 575 1
0 580 4
0 583 9
0 586 7
0 589 4
0 592 9
1 1 6
1 5 9
1 16 7
1 25 4
1 28 8
1 43 6
1 61 2
1 65 9
1 67 6
1 75 4
1 79 4
1 99 7
1 103 7
1 106 4
1 112 3
1 115 1
1 118 7
1 131 5
1 134 8
1 141 10
1 165 1
1 168 8
1 171 9
1 189 3
1 216 5
1 225 5
1 226 7
1 242 7
1 254 9
1 256 9
1 283 8
1 285 2
1 297 4
1 315 4
1 328 5
1 341 3
1 346 9
1 351 8
1 371 7
1 394 10
1 396 8
1 402 9
1 404 5
1 406 1
1 410 10
1 425 5
1 426 1
1 431 5
1 445 5
1 466 3
1 477 5
1 484 3
1 489 9
1 514 10
1 572 10
1 587 4
1 598 7
1 599 7
2 4 5
2 9 2
2 13 6
2 16 3
2 41 3
2 50 2
2 52 4
2 61 9
2 79 7
2 100 8
2 111 5
2 123 6
2 125 10
2 140 6
2 148 10
2 165 3
2 169 5
2 176 3
2 178 8
2 212 5
2 214 3
2 216 8
2 222 8
2 227 5
2 240 9
2 295 10
2 304 7
2 310 1
2 313 10
2 320 8
2 321 2
2 336 3
2 360 10
2 375 2
2 381 7
2 387 7
2 392 7
2 419 8
2 421 9
2 425 3
2 441 7
2 448 8
2 455 9
2 466 1
2 468 1
2 480 5
2 490 1
2 507 6
2 518 2
2 523 3
2 525 5
2 555 3
2 565 9
2 573 9
2 576 4
2 597 3
3 5 10
3 12 9
3 16 8
3 25 10
3 40 7
3 49 8
3 54 6
3 74 4
3 89 6
3 90 1
3 95 3
3 97 9
3 105 4
3 117 9
3 119 10
3 123 3
3 127 5
3 128 1
3 129 1
3 131 5
3 145 8
3 149 5
3 152 8
3 157 6
3 172 3
3 187 5
3 188 3
3 194 10
3 255 1
3 256 7
3 288 5
3 290 4
3 302 2
3 324 8
3 333 3
3 336 3
3 343 7
3 344 7
3 350 10
3 362 1
3 369 6
3 385 5
3 430 2
3 432 2
3 442 3
3 443 9
3 450 2
3 456 7
3 471 4
3 478 6
3 480 10
3 486 7
3 496 1
3 500 3
3 531 2
3 552 10
3 565 4
3 594 9
4 7 6
4 20 7
4 24 8
4 29 2
4 40 7
4 51 3
4 58 5
4 69 7
4 82 3
4 101 3
4 104 6
4 129 2
4 141 5
4 150 3
4 162 7
4 169 10
4 177 4
4 186 10
4 197 1
4 201 5
4 217 5
4 226 9
4 231 8
4 235 3
4 236 2
4 241 1
4 243 6
4 250 3
4 287 6
4 294 8
4 296 8
4 297 6
4 306 9
4 328 8
4 346 4
4 360 5
4 370 6
4 376 7
4 389 4
4 404 6
4 438 4
4 443 9
4 447 10
4 458 1
4 474 9
4 485 9
4 500 2
4 505 10
4 512 10
4 513 1
4 527 3
4 528 6
4 533 6
4 534 6
4 546 9
4 564 2
4 576 6
4 579 7
5 16 2
5 18 3
5 51 4
5 62 3
5 67 7
5 70 8
5 77 6
5 80 1
5 101 1
5 113 6
5 118 5
5 130 3
5 137 3
5 146 3
5 175 8
5 198 8
5 202 8
5 203 7
5 207 10
5 209 6
5 213 10
5 235 9
5 237 3
5 248 1
5 250 4
5 260 6
5 268 2
5 272 10
5 275 3
5 298 8
5 300 7
5 325 2
5 329 2
5 340 8
5 345 5
5 362 3
5 367 3
5 378 9
5 379 10
5 389 1
5 390 9
5 391 5
5 395 8
5 407 7
5 419 2
5 429 10
5 443 5
5 454 9
5 460 3
5 462 10
5 474 6
5 477 6
5 480 7
5 481 6
5 482 8
5 484 3
5 506 4
5 513 5
5 525 2
5 534 2
5 536 1
5 539 6
5 561 1
5 580 1
6 2 4
6 19 6
6 23 8
6 28 8
6 35 8
6 38 6
6 39 6
6 46 4
6 47 10
6 65 6
6 80 4
6 83 1
6 84 1
6 86 5
6 87 3
6 94 10
6 102 3
6 138 4
6 154 4
6 161 3
6 162 7
6 166 1
6 170 5
6 183 5
6 184 7
6 186 8
6 199 1
6 203 5
6 204 6
6 207 6
6 219 8
6 226 2
6 230 2
6 231 9
6 244 3
6 246 3
6 255 10
6 266 9
6 267 1
6 280 2
6 284 4
