nodes 100
source 0
sink 99
arcs 961
0 99 10
0 7 10
0 12 4
0 41 10
0 50 8
0 51 3
0 57 7
0 61 2
0 67 9
0 79 7
0 81 1
0 95 9
0 97 2
0 98 6
1 4 3
1 16 3
1 26 9
1 28 9
1 30 1
1 52 2
1 55 4
1 66 10
1 74 5
1 93 7
1 94 1
1 98 5
2 2 2
2 7 9
2 31 2
2 33 6
2 34 1
2 35 8
2 45 2
2 51 1
2 67 9
2 71 9
2 73 1
2 80 6
2 85 9
3 1 8
3 8 3
3 21 4
3 31 10
3 33 8
3 40 7
3 41 9
3 43 6
3 76 10
4 1 2
4 16 7
4 20 6
4 37 6
4 48 6
4 61 7
4 71 1
4 74 8
4 82 2
4 83 1
4 89 6
4 99 9
5 5 7
5 13 4
5 24 5
5 35 10
5 54 7
5 55 9
5 56 7
5 82 10
5 90 1
6 6 1
6 7 2
6 14 10
6 33 5
6 37 7
6 49 3
6 88 10
6 97 7
6 99 8
7 18 8
7 24 3
7 29 5
7 31 4
7 44 3
7 50 8
7 60 10
7 65 10
7 66 3
7 67 8
7 84 7
7 87 8
7 89 9
8 4 6
8 9 1
8 15 4
8 21 10
8 27 10
8 30 1
8 37 1
8 56 6
8 69 2
8 71 8
8 78 1
9 4 2
9 14 5
9 16 9
9 21 1
9 32 10
9 36 4
9 65 1
9 71 8
9 78 8
9 82 2
10 3 6
10 20 7
10 25 8
10 29 1
10 33 10
10 39 3
10 45 1
10 60 5
10 77 2
10 80 9
10 82 6
10 96 10
11 2 1
11 30 2
11 34 8
11 61 7
11 84 10
12 6 4
12 7 7
12 11 10
12 23 8
12 50 8
12 65 4
12 69 5
12 80 3
12 89 9
12 92 6
13 1 2
13 13 1
13 18 9
13 22 5
13 37 5
13 50 2
13 51 8
13 54 4
13 59 10
13 96 3
13 99 8
14 2 9
14 5 10
14 11 9
14 19 7
14 36 5
14 44 9
14 50 2
14 89 1
14 91 3
15 1 4
15 11 6
15 26 2
15 50 8
15 63 8
15 65 4
15 71 10
15 86 3
15 90 5
16 1 4
16 7 5
16 22 9
16 29 7
16 33 4
16 43 9
16 61 10
16 71 3
16 72 5
16 79 7
16 86 10
17 8 1
17 17 1
17 20 5
17 23 6
17 31 7
17 34 6
17 53 10
17 55 10
17 66 9
17 81 4
17 89 6
17 94 5
17 99 9
18 14 10
18 41 8
18 44 1
18 45 7
18 46 3
18 57 7
19 8 9
19 36 1
19 60 3
19 87 5
20 3 6
20 8 9
20 16 1
20 30 7
20 47 1
20 49 10
20 50 2
20 52 7
20 65 7
20 81 3
21 13 9
21 17 9
21 72 1
21 74 5
21 76 1
21 77 4
21 83 10
