nodes 400
source 0
sink 399
arcs 48030
0 399 10
0 2 5
0 3 4
0 7 6
0 8 10
0 10 10
0 19 1
0 20 3
0 21 10
0 23 7
0 24 3
0 31 8
0 32 3
0 34 6
0 35 3
0 45 9
0 47 9
0 49 6
0 55 3
0 56 5
0 58 4
0 59 3
0 63 6
0 64 8
0 65 3
0 66 7
0 68 8
0 69 1
0 71 3
0 72 1
0 74 7
0 75 9
0 80 3
0 86 1
0 88 3
0 95 5
0 96 2
0 97 5
0 100 3
0 103 10
0 104 9
0 105 1
0 111 1
0 115 3
0 116 1
0 119 9
0 120 7
0 123 7
0 124 10
0 130 5
0 136 9
0 137 2
0 141 6
0 143 4
0 151 2
0 152 7
0 155 5
0 158 7
0 161 9
0 171 10
0 172 5
0 174 10
0 177 3
0 178 7
0 182 4
0 185 7
0 187 9
0 188 5
0 193 7
0 194 5
0 195 1
0 203 4
0 204 6
0 206 2
0 207 10
0 209 5
0 215 3
0 217 3
0 220 6
0 221 9
0 222 4
0 224 7
0 225 8
0 245 7
0 246 3
0 250 1
0 252 9
0 255 10
0 258 2
0 260 9
0 262 8
0 269 6
0 270 2
0 272 5
0 273 4
0 281 10
0 282 5
0 289 4
0 290 1
0 291 2
0 301 3
0 302 3
0 304 5
0 309 10
0 312 7
0 315 3
0 317 10
0 327 6
0 328 5
0 330 10
0 341 10
0 353 4
0 359 6
0 365 9
0 366 6
0 367 3
0 376 5
0 378 8
0 382 2
0 383 4
0 386 9
0 388 7
0 391 2
0 393 1
1 5 3
1 8 10
1 10 7
1 14 4
1 18 4
1 23 6
1 28 8
1 29 8
1 36 6
1 38 6
1 41 4
1 45 10
1 49 8
1 51 2
1 55 7
1 58 1
1 73 9
1 80 10
1 85 4
1 86 2
1 87 10
1 91 2
1 92 7
1 93 1
1 103 6
1 105 10
1 112 8
1 114 8
1 122 1
1 126 3
1 129 5
1 132 1
1 133 5
1 134 4
1 137 10
1 140 2
1 143 3
1 146 3
1 149 9
1 152 1
1 153 8
1 154 3
1 158 6
1 159 10
1 161 4
1 166 8
1 173 1
1 177 6
1 186 8
1 189 7
1 190 9
1 192 7
1 194 6
1 206 6
1 209 3
1 215 5
1 220 1
1 221 6
1 224 2
1 227 1
1 228 8
1 231 10
1 233 9
1 235 3
1 236 5
1 239 4
1 244 7
1 248 9
1 250 5
1 259 2
1 260 7
1 264 9
1 271 6
1 273 4
1 281 8
1 284 7
1 285 8
1 286 3
1 287 5
1 293 2
1 295 2
1 298 7
1 303 1
1 305 3
1 308 10
1 310 7
1 313 9
1 314 10
1 315 4
1 318 1
1 321 6
1 324 1
1 325 10
1 326 9
1 329 6
1 335 5
1 339 6
1 345 10
