nodes 400
source 0
sink 399
arcs 15966
0 399 10
0 24 9
0 30 1
0 76 9
0 80 1
0 81 4
0 90 9
0 91 5
0 93 9
0 102 7
0 108 7
0 118 3
0 119 8
0 132 4
0 135 8
0 158 6
0 161 5
0 191 10
0 193 2
0 194 10
0 206 7
0 216 8
0 218 9
0 230 9
0 233 7
0 257 9
0 285 9
0 291 8
0 292 3
0 308 5
0 356 10
0 361 5
0 364 1
1 7 7
1 17 10
1 27 7
1 33 6
1 45 5
1 81 1
1 128 9
1 131 8
1 142 9
1 143 3
1 146 5
1 149 5
1 171 6
1 175 8
1 179 7
1 196 7
1 208 6
1 215 9
1 218 7
1 230 3
1 234 10
1 255 6
1 259 3
1 261 2
1 262 6
1 270 3
1 280 10
1 288 3
1 305 6
1 314 5
1 330 4
1 334 10
1 346 7
1 363 4
1 366 3
1 372 4
1 381 9
1 394 2
1 396 1
1 398 6
2 16 7
2 48 1
2 76 4
2 84 9
2 98 4
2 104 1
2 112 10
2 114 9
2 143 2
2 146 3
2 162 1
2 168 5
2 190 7
2 198 4
2 202 2
2 215 7
2 236 8
2 242 10
2 249 3
2 265 8
2 269 2
2 293 9
2 326 9
2 332 6
2 334 2
2 336 3
2 356 1
2 394 6
3 7 2
3 8 4
3 21 7
3 34 2
3 38 5
3 61 7
3 71 2
3 85 1
3 105 4
3 118 9
3 120 6
3 141 2
3 145 1
3 147 6
3 161 1
3 170 7
3 179 5
3 184 3
3 186 2
3 197 10
3 201 1
3 208 3
3 209 9
3 211 3
3 226 10
3 229 5
3 274 5
3 296 5
3 307 10
3 311 3
3 330 10
3 342 9
3 352 7
3 356 4
3 382 8
3 385 5
3 390 1
3 392 5
4 0 7
4 8 5
4 10 5
4 26 5
4 37 5
4 39 10
4 48 5
4 55 1
4 63 5
4 64 4
4 77 8
4 78 7
4 81 8
4 92 9
4 105 5
4 109 2
4 141 10
4 155 1
4 173 2
4 180 2
4 181 8
4 209 3
4 217 10
4 255 1
4 270 10
4 297 7
4 300 8
4 306 10
4 312 10
4 316 3
4 320 9
4 327 10
4 376 9
4 380 2
4 390 7
4 397 8
5 11 6
5 24 5
5 26 4
5 28 7
5 42 5
5 44 8
5 51 5
5 74 3
5 78 4
5 89 6
5 120 7
5 128 10
5 137 10
5 140 9
5 145 6
5 149 9
5 151 7
5 153 3
5 155 5
5 160 8
5 176 4
5 178 10
5 180 8
5 191 8
5 199 3
5 202 9
5 207 4
5 222 10
5 246 8
5 251 10
5 255 3
5 261 5
5 266 6
5 268 9
5 276 1
5 288 6
5 295 2
5 300 6
5 303 3
5 320 10
5 367 5
5 373 3
5 383 1
5 388 9
5 396 6
6 18 6
6 24 7
6 38 4
6 57 2
6 62 6
6 68 9
6 103 6
6 105 1
6 118 3
6 119 7
6 122 5
6 126 3
6 137 7
6 144 1
6 157 6
6 161 4
6 169 9
6 181 5
6 182 5
6 210 2
6 215 7
6 252 3
6 263 6
6 265 4
6 267 2
6 273 3
6 276 10
6 287 8
6 311 4
6 331 3
6 346 6
6 353 4
6 358 8
6 368 2
6 370 5
6 375 5
6 382 10
7 1 2
7 27 2
7 36 5
7 50 9
7 67 6
7 72 4
7 78 6
7 85 8
7 97 9
7 106 8
7 109 3
7 110 2
7 133 5
7 144 3
7 151 4
7 161 10
7 170 8
7 171 10
7 174 10
7 179 9
7 230 8
7 239 8
7 260 9
7 266 10
7 283 2
7 294 3
7 304 2
7 310 2
7 327 6
7 350 2
7 353 8
7 374 5
7 376 10
7 391 5
7 393 5
8 15 4
8 23 10
8 25 5
8 31 6
8 44 6
8 49 3
8 53 4
8 58 10
8 71 10
8 90 10
8 94 10
8 120 2
8 124 2
8 133 4
8 136 4
8 150 2
8 159 6
8 161 10
8 164 9
8 165 5
8 176 6
8 188 8
8 195 5
8 214 4
8 222 4
8 228 5
8 230 4
8 234 1
8 236 2
8 237 9
8 245 6
8 271 4
8 285 4
8 292 8
8 314 1
8 316 3
8 322 6
8 324 4
8 337 3
8 344 6
8 347 5
8 349 7
8 354 3
8 369 10
8 379 1
8 381 8
9 0 4
9 9 2
9 17 8
9 26 8
9 36 6
9 45 5
9 75 3
9 82 10
9 89 5
9 93 2
9 94 2
9 146 4
9 170 2
9 171 4
9 214 8
9 219 7
9 223 10
9 229 9
9 238 9
9 254 8
9 261 3
9 269 7
9 283 10
9 284 9
9 310 8
9 334 4
9 336 5
9 344 9
9 359 5
9 364 8
9 368 6
9 374 10
10 8 1
10 18 9
10 20 1
10 27 7
10 28 1
10 50 1
10 72 2
10 73 7
10 78 1
10 82 10
10 99 10
10 105 6
10 120 10
10 121 3
10 146 2
10 156 4
10 167 1
10 175 1
10 181 3
10 185 9
10 194 3
10 196 4
10 202 8
10 204 5
10 222 1
10 228 6
10 244 5
10 250 5
10 257 7
10 265 8
10 274 8
10 283 3
10 284 7
10 290 9
10 295 1
10 298 8
10 319 9
10 321 2
10 326 9
10 331 2
10 332 3
10 339 10
10 346 9
10 355 4
10 359 8
10 361 10
10 370 5
10 378 6
10 381 5
10 392 10
11 10 3
11 52 5
11 53 1
11 56 10
11 64 1
11 73 7
11 74 5
11 92 8
11 96 6
11 125 8
11 130 10
11 142 7
11 149 6
11 155 4
11 158 1
11 171 4
11 185 8
11 209 8
11 214 2
11 225 7
11 229 7
11 238 6
11 240 7
11 246 6
11 247 2
11 261 8
11 268 8
11 277 9
11 289 2
11 304 2
11 325 1
11 331 3
11 333 1
11 335 7
11 381 10
11 383 10
11 384 5
11 396 9
12 1 3
12 9 8
12 11 4
12 14 5
12 15 1
12 21 1
12 25 1
12 29 10
12 31 10
12 41 7
12 45 9
12 57 2
12 59 6
12 62 5
12 68 1
12 86 7
12 91 1
12 110 8
12 122 9
12 125 6
12 128 1
12 150 7
12 179 3
12 192 10
12 196 5
12 208 8
12 217 8
12 220 7
12 224 2
12 231 10
12 240 4
12 248 8
12 249 10
12 273 4
12 294 3
12 299 9
12 304 10
12 312 3
12 331 8
12 337 5
12 349 2
12 353 9
12 387 4
13 18 8
13 26 8
13 28 4
13 35 5
13 62 3
13 78 9
13 83 7
13 84 8
13 94 7
13 102 3
13 103 10
13 109 1
13 124 9
13 126 10
13 137 4
13 151 3
13 162 2
13 165 6
13 171 1
13 174 3
13 183 5
13 184 8
13 194 7
13 201 1
13 226 2
13 230 9
13 244 8
13 247 5
13 252 2
13 255 2
13 256 1
13 293 1
13 294 3
13 300 4
13 312 1
13 314 8
13 315 4
13 349 5
13 351 4
13 365 7
13 369 9
13 392 9
13 394 10
14 7 4
14 32 9
14 35 9
14 39 10
14 70 10
14 82 2
14 88 9
14 89 5
14 91 1
14 109 2
14 117 10
14 125 1
14 136 6
14 154 1
14 172 5
14 179 3
14 183 2
14 192 6
14 204 1
14 205 9
14 209 2
14 212 7
14 218 3
14 228 8
14 242 6
14 257 7
14 271 4
14 276 5
14 310 6
14 322 6
14 324 3
14 337 4
14 340 5
14 352 7
14 358 6
14 371 4
14 372 10
14 377 8
14 381 7
14 391 8
14 398 2
15 30 7
15 35 6
15 38 10
15 53 8
15 55 4
15 83 1
15 92 3
15 100 8
15 109 10
15 110 6
15 119 9
15 125 6
15 128 3
15 142 8
15 153 9
15 170 3
15 175 5
15 180 6
15 184 2
15 188 8
15 198 2
15 228 4
15 234 5
15 236 10
15 244 1
15 247 5
15 255 7
15 269 8
15 270 6
15 277 3
15 287 7
15 289 5
15 291 3
15 320 9
15 335 6
15 338 10
15 341 5
15 353 7
15 361 2
15 376 4
15 391 2
15 392 4
16 12 10
16 23 10
16 24 4
16 31 7
16 34 5
16 48 7
16 51 8
16 66 1
16 95 10
16 123 6
16 130 3
16 144 5
16 150 5
16 164 7
16 167 4
16 175 8
16 214 6
16 228 2
16 251 6
16 252 8
16 256 5
16 260 9
16 264 2
16 290 3
16 298 1
16 300 9
16 305 3
16 316 9
16 320 3
16 338 9
16 342 1
16 351 7
16 369 6
17 5 9
17 29 1
17 36 8
17 44 10
17 64 4
17 65 4
17 73 2
17 77 4
17 81 6
17 92 4
17 95 1
17 114 7
17 126 9
17 129 7
17 149 2
17 153 1
17 186 7
17 188 3
17 205 6
17 219 1
17 229 5
17 235 1
17 260 9
17 272 5
17 276 3
17 289 5
17 307 1
17 339 2
17 359 5
17 360 10
17 369 6
17 370 7
17 372 5
17 378 3
17 380 9
18 0 10
18 12 3
18 15 1
18 24 9
18 34 5
18 41 7
18 51 6
18 53 10
18 82 2
18 85 2
18 95 1
18 96 9
18 124 4
18 151 9
18 187 8
18 208 1
18 210 3
18 212 6
18 218 3
18 224 10
18 237 3
18 245 5
18 286 3
18 294 9
18 298 5
18 320 9
18 333 1
18 341 3
18 350 10
18 362 10
18 367 3
18 369 3
18 383 7
18 387 2
18 388 7
19 2 4
19 28 5
19 39 6
19 41 2
19 52 8
19 59 4
19 82 5
19 85 1
19 106 9
19 121 4
19 136 10
19 138 3
19 144 1
19 164 7
19 191 8
19 193 5
19 197 5
19 202 10
19 206 8
19 236 7
19 244 4
19 265 7
19 270 4
19 292 10
19 299 7
19 300 7
19 305 6
19 315 9
19 331 5
19 344 1
19 356 1
20 20 4
20 22 2
20 36 5
20 41 3
20 63 3
20 68 5
20 81 8
20 83 5
20 94 7
20 103 7
20 118 3
20 128 6
20 131 3
20 138 10
20 155 4
20 158 1
20 159 9
20 166 9
20 179 1
20 191 10
20 197 2
20 207 10
20 219 7
20 262 2
20 264 3
20 267 2
20 272 6
20 285 3
