nodes 1300
source 0
sink 1299
arcs 168875
0 1299 10
0 12 9
0 13 10
0 29 4
0 40 5
0 69 4
0 79 6
0 88 1
0 96 3
0 100 9
0 104 1
0 118 5
0 154 9
0 164 4
0 168 6
0 173 9
0 192 1
0 203 7
0 229 5
0 234 4
0 250 10
0 252 6
0 270 5
0 271 10
0 289 4
0 325 3
0 343 2
0 365 4
0 366 6
0 375 6
0 379 1
0 395 6
0 398 7
0 401 8
0 419 3
0 427 10
0 429 1
0 435 1
0 442 10
0 451 10
0 452 7
0 453 5
0 470 3
0 478 2
0 479 9
0 481 5
0 483 2
0 489 1
0 490 8
0 491 6
0 510 3
0 512 9
0 520 6
0 591 5
0 592 5
0 614 2
0 626 10
0 627 9
0 628 9
0 629 2
0 649 10
0 668 1
0 673 9
0 676 2
0 678 1
0 681 4
0 686 3
0 690 4
0 695 7
0 699 6
0 700 6
0 701 10
0 705 5
0 711 1
0 713 2
0 720 9
0 741 10
0 755 4
0 771 2
0 792 8
0 798 7
0 806 10
0 823 2
0 830 3
0 838 9
0 872 6
0 873 6
0 879 5
0 888 1
0 890 4
0 902 6
0 907 1
0 915 10
0 919 5
0 922 7
0 923 3
0 928 1
0 929 1
0 933 2
0 950 10
0 962 4
0 973 5
0 980 1
0 998 4
0 1012 3
0 1022 5
0 1026 9
0 1029 3
0 1030 2
0 1031 10
0 1045 3
0 1070 8
0 1071 9
0 1078 2
0 1092 4
0 1094 10
0 1119 10
0 1126 5
0 1130 5
0 1131 3
0 1143 4
0 1161 3
0 1167 10
0 1168 4
0 1170 5
0 1177 2
0 1189 4
0 1193 2
0 1199 7
0 1202 3
0 1204 1
0 1214 7
0 1225 6
0 1230 3
0 1233 10
0 1242 4
0 1244 1
0 1246 4
0 1250 2
0 1286 10
0 1289 5
0 1299 4
1 27 5
1 45 2
1 47 9
1 61 5
1 67 7
1 77 10
1 93 9
1 100 3
1 113 4
1 128 4
1 148 2
1 157 3
1 158 9
1 162 9
1 163 7
1 170 9
1 177 5
1 187 1
1 202 4
1 205 6
1 208 6
1 216 1
1 231 8
1 241 4
1 247 6
1 254 4
1 258 1
1 260 9
1 261 1
1 263 2
1 297 1
1 320 8
1 330 3
1 332 7
1 337 7
1 342 1
1 366 1
1 375 1
1 377 9
1 383 2
1 384 9
1 391 10
1 403 7
1 429 9
1 463 8
1 473 9
1 485 4
1 492 4
1 500 5
1 535 1
1 564 8
1 571 4
1 585 1
1 607 8
1 611 5
1 615 5
1 631 2
1 637 9
1 642 4
1 650 9
1 661 7
1 666 6
1 686 4
1 709 3
1 718 7
1 724 9
1 752 9
1 776 4
1 777 8
1 785 8
1 805 9
1 807 2
1 894 6
1 897 9
1 900 7
1 902 7
1 907 2
1 916 3
1 918 5
1 939 6
1 940 7
1 955 6
1 984 4
1 985 9
1 994 4
1 1036 2
1 1055 2
1 1057 2
1 1065 3
1 1069 9
1 1071 2
1 1077 7
1 1080 3
1 1084 6
1 1086 10
1 1096 8
1 1101 10
1 1124 4
1 1126 10
1 1150 8
1 1157 1
1 1168 1
1 1192 4
1 1194 6
1 1195 10
1 1199 8
1 1220 8
1 1231 4
1 1233 7
1 1242 4
1 1255 9
1 1278 2
1 1293 10
2 6 8
2 33 8
2 37 8
2 67 3
2 72 5
2 74 2
2 90 1
2 100 7
2 108 5
2 115 1
2 129 5
